Local de residência (à data dos Censos 2021),Proporção da população residente com pelo menos o ensino secundário completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
União das freguesias da Madalena e Samaiões,36.15
"União das freguesias das Eiras, São Julião de Montenegro e Cela",27.66
União das freguesias de Calvão e Soutelinho da Raia,16.75
União das freguesias de Loivos e Póvoa de Agrações,17.20
União das freguesias de Santa Cruz/Trindade e Sanjurge,45.39
União das freguesias de Soutelo e Seara Velha,29.59
União das freguesias de Travancas e Roriz,7.82
Vale de Anta,48.58
"Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)",32.86
Vila Verde da Raia,32.46
Vilar de Nantes,41.13
Vilarelho da Raia,16.39
Vilas Boas,25.52
Vilela do Tâmega,30.45
Vilela Seca,18.35
Montalegre,24.54
Cabril,17.16
Cervos,17.56
Chã,24.88
Covelo do Gerês,18.18
Ferral,18.52
Gralhas,16.09
Morgade,20.34
Negrões,21.01
Outeiro,20.63
Pitões das Junias,24.64
Reigoso,10.32
Salto,26.46
Santo André,19.01
Sarraquinhos,12.10
Solveira,11.03
Tourém,18.10
"União das freguesias de Cambeses do Rio, Donões e Mourilhe",20.08
União das freguesias de Meixedo e Padornelos,16.26
União das freguesias de Montalegre e Padroso,42.15
"União das freguesias de Paradela, Contim e Fiães",20.43
União das freguesias de Sezelhe e Covelães,18.26
União das freguesias de Venda Nova e Pondras,28.48
União das freguesias de Viade de Baixo e Fervidelas,20.28
União das freguesias de Vilar de Perdizes e Meixide,16.82
Vila da Ponte,22.15
Ribeira de Pena,25.91
Alvadia,13.73
Canedo,7.14
Santa Marinha,22.27
União das freguesias de Cerva e Limões,24.80
União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega,30.58
Valpaços,22.98
Água Revés e Crasto,10.57
Algeriz,13.46
Bouçoães,7.88
Canaveses,13.33
Carrazedo de Montenegro e Curros,20.89
Ervões,18.45
Fornos do Pinhal,21.16
Friões,10.54
"Lebução, Fiães e Nozelos",13.57
Padrela e Tazem,13.83
Possacos,22.32
Rio Torto,18.25
Santa Maria de Emeres,14.73
Santa Valha,18.64
Santiago da Ribeira de Alhariz,9.96
São João da Corveira,14.18
São Pedro de Veiga de Lila,13.10
Serapicos,13.51
Sonim e Barreiros,15.05
